"lon","lat","no2","campaign","code"
4.348715,50.90877,31.6,"facade","196578"
5.30992,50.89937,18.2,"facade","196593"
4.147606,51.15823,29.5,"facade","196623"
4.708161,50.8622,18.7,"facade","196635"
3.703487,51.01757,26.9,"facade","196647"
4.034517,50.9403,41.7,"facade","196683"
4.353277,51.17266,27.5,"facade","196686"
4.574344,51.24109,20.2,"facade","196701"
4.576778,51.05926,24.1,"facade","196707"
4.390469,50.94084,17,"facade","196716"
5.681115,50.99332,15.4,"facade","196737"
4.585712,50.8454,24,"facade","196752"
4.510417,51.25359,20.9,"facade","196791"
4.028766,50.94033,35.9,"facade","196794"
5.44608301356443,50.8315335302448,16.8,"facade","196800"
3.890919,50.82112,23.1,"facade","196803"
4.465152,51.02528,24.4,"facade","196821"
3.694884,51.10984,23.2,"facade","196830"
3.71429,51.05213,26.4,"facade","196836"
4.165776,51.14289,30.4,"facade","196842"
4.449552,51.20251,33.8,"facade","196845"
4.229206,50.95818,23.6,"facade","196851"
3.74068,51.05165,52.3,"facade","196860"
3.242601,51.33667,27.7,"facade","196863"
4.083014,50.93214,16.5,"facade","196872"
3.64572,50.96042,20.2,"facade","196875"
4.30682,51.00059,23.1,"facade","196896"
4.43133,51.22139,44.1,"facade","196917"
3.761086,51.09977,29.7,"facade","196920"
4.352705,51.17684,34,"facade","196929"
4.402837,51.16237,25.2,"facade","196938"
3.729068,51.06456,34.5,"facade","196941"
3.179279,51.1863,21.1,"facade","196944"
3.332079,51.18838,19.6,"facade","196953"
5.180769,50.8193,27.4,"facade","196959"
3.829283,51.06662,22.1,"facade","196968"
4.426125,51.16783,35.5,"facade","196974"
3.186099,51.20233,23.4,"facade","196989"
5.497479,50.96965,21,"facade","196992"
4.09930346176233,51.1848244913037,20.4,"facade","196998"
3.268563,51.19467,19.2,"facade","197004"
4.534142,50.76656,17.4,"facade","197013"
4.132692,51.16687,25.7,"facade","197022"
4.663576,51.05878,23,"facade","197025"
3.872771,51.06802,23.5,"facade","197040"
3.726509,51.05094,28.4,"facade","197043"
4.063639,51.00566,18.2,"facade","197046"
4.939472,51.17869,18.7,"facade","197064"
4.541425,50.87101,21.5,"facade","197094"
3.155416,51.18324,22.7,"facade","197103"
4.444745,51.13001,28.7,"facade","197130"
4.06619,50.95059,19.7,"facade","197139"
3.65706,50.97948,28,"facade","197151"
5.511535,50.87464,18.6,"facade","197154"
5.259564,50.76295,16.5,"facade","197160"
3.1531,50.96995,19.3,"facade","197205"
4.448386,51.04093,36.2,"facade","197208"
4.048492,50.95069,20,"facade","197220"
3.169226,50.83242,22.7,"facade","197232"
4.159412,51.16009,20.9,"facade","197241"
3.808024,51.19737,26.7,"facade","197250"
3.224669,51.20957,44.6,"facade","197262"
4.429426,51.296,21,"facade","197265"
5.158455,50.99126,20.1,"facade","197268"
