"code","pop_1","pop_5","pop_10","dist_coast","urban_1","natural_1","urban_5","natural_5","urban_10","natural_10"
"218445",504.748089075089,24428.0481796265,124972.341111064,69.5801085228019,0.135802469135802,0.530864197530864,0.252932177460478,0.273329933707291,0.285277246653906,0.173231357552578
"218454",4837.21205329895,54980.1916284561,206418.602906466,42.2739433457685,0.864197530864199,0,0.350331463539009,0,0.349394518801764,0.00318674314850223
"218466",989.122006416321,43639.7014689445,204883.305407286,32.1403211962048,0.222222222222222,0.135802469135802,0.254462009178989,0.109637939826619,0.302103250477996,0.0687061822817088
"218490",3652.557097435,63458.7813887596,224753.161580086,38.6821449055649,0.580246913580247,0,0.349311575726668,0.00866904640489546,0.316889738687045,0.0305927342256216
"218499",1278.14416027069,41915.1782722473,216273.534876347,58.1738392966708,0.308641975308642,0.37037037037037,0.401325854156041,0.126976032636409,0.410962396430822,0.0949649458253675
"218505",1450.59115314484,39506.9439935684,203917.304285765,42.5085317042255,0.222222222222222,0,0.284548699643038,0.0311065782763896,0.32581261950285,0.0223072020395157
"218508",2468.71867370605,35916.3478031158,103623.276417494,46.5913284512441,0.530864197530864,0,0.230494645588984,0.00611932687404386,0.203696622052256,0.0121096239643085
"218511",8434.32333755493,199161.404058456,621089.374574184,28.6375105560516,1,0,0.777154513003565,0.012748597654258,0.587125557680046,0.036838750796686
"218529",5856.28281402588,45348.2047176361,130338.36355257,27.9931508924434,0.864197530864199,0,0.27231004589495,0,0.231739961759073,0.0351816443594649
"218532",1161.86797571182,18629.6017565727,113884.444257021,52.1290365757291,0.358024691358025,0.530864197530864,0.237633860275368,0.232024477307495,0.250223072020385,0.187762906309747
"218535",19227.246887207,192639.775845528,355510.428163528,35.6048062060536,1,0,0.782253952065268,0.000509943906170321,0.510006373486266,0.0145315487571702
"218538",3492.28103256226,37682.4537372589,154065.038250685,20.3195633241827,0.654320987654322,0.0493827160493827,0.276899541050483,0.0928097909229981,0.285787125557666,0.0917782026768652
"218547",3916.76469421387,84121.718421936,455208.675627232,33.3441279616987,0.728395061728396,0.0617283950617284,0.447220805711369,0.0168281489036206,0.489483747609909,0.0350541746335248
"218553",3609.42599105835,149381.807824135,994618.831288099,52.7484775899102,0.481481481481481,0,0.676695563488012,0.000509943906170321,0.575780752071374,0.0309751434034419
"218565",7268.35080718994,68017.9846878052,183945.466271639,92.3160403849188,0.913580246913582,0,0.483426823049462,0.0948495665476794,0.394263862332672,0.12721478648821
"218577",2518.00016975403,45856.4854938984,155561.743489027,18.6754546483996,0.580246913580247,0,0.38449770525242,0.130545639979602,0.284894837476085,0.0781389420012755
"218583",817.90576839447,41268.8932909966,194260.061988831,26.162501373055,0.0864197530864197,0,0.280469148393675,0.0377358490566038,0.285149776927966,0.0316124920331423
"218586",5462.57594108582,79012.3508148193,255772.175270319,49.3995610305388,0.80246913580247,0,0.524732279449258,0.00458949515553289,0.427915869980852,0.00242192479286169
"218589",567.829228878021,35597.8835525513,132122.923302889,44.1739619844217,0.296296296296296,0.345679012345679,0.319224885262619,0.184599694033655,0.27584448693434,0.201912045889095
"218604",876.04718875885,33721.0533168316,181871.040155172,21.8600269299013,0.209876543209877,0.037037037037037,0.220295767465578,0.0550739418663946,0.267431485022295,0.0499681325685154
"218619",2819.47284126282,39915.0558748245,227456.027208805,38.6408561260637,0.555555555555556,0,0.264660887302395,0.0295767465578787,0.327214786488191,0.0108349267049076
"218622",2497.99523067474,26420.7056498528,95126.0301551819,63.4991512283833,0.481481481481481,0.0864197530864197,0.284548699643038,0.210606833248342,0.224856596558309,0.217463352453785
"218625",4798.03069114685,53207.7272663116,168691.565831184,51.943272462694,0.839506172839508,0,0.466088730239671,0.0224375318714941,0.30949649458252,0.00739324410452517
"218631",6275.49802780151,152083.715842247,941237.883987188,55.00123711413,0.827160493827162,0,0.740948495665472,0.0137684854665987,0.615551306564695,0.0456341618865523
"218640",4773.10681915283,74761.7161822319,254874.223244429,48.9517450590006,0.740740740740742,0,0.504844467108615,0.00458949515553289,0.423326959847009,0.00242192479286169
"218646",6643.18516540527,144885.425842285,495810.950978041,29.9918370734188,0.864197530864199,0,0.626211116777151,0.014278429372769,0.509114085404685,0.057871255576801
"218655",655.091586112976,38849.8193178177,213769.522926569,44.6805823967627,0.0740740740740741,0.0123456790123457,0.238143804181539,0.0275369709331974,0.313702995538543,0.033906947100064
"218661",3598.89093589783,84309.3556582928,158815.68244791,16.9829972084547,0.691358024691359,0,0.532381438041812,0.0703722590515041,0.297641810070093,0.0636073932441051
"218667",2127.29388046265,28532.2699172497,156672.155372858,45.0871258472517,0.345679012345679,0,0.171341152473227,0,0.287826641172707,0.00573613766730401
"218670",4994.63646697998,46168.0421094894,98721.0988712311,18.407083829723,0.753086419753088,0.0493827160493827,0.318204997450279,0.0841407445181027,0.194391332058631,0.0546845124282988
"218673",3130.16902065277,41991.0404126644,99937.1685372591,66.338940661455,0.691358024691359,0.0864197530864197,0.378378378378376,0.184599694033655,0.249203314212864,0.186870618228166
"218676",5712.96088981628,152097.716969967,340654.671782494,33.515345346995,0.765432098765433,0,0.628760836308003,0.0152983171851096,0.478266411727182,0.0121096239643085
"218679",6636.40663909912,106506.666844845,233094.158607721,53.7572380513862,0.851851851851853,0,0.610402855685871,0.00509943906170321,0.412619502868043,0.00395156150414276
"218682",4380.19196128845,31047.1142470837,99573.1405194998,73.0564082680083,0.913580246913582,0.0493827160493827,0.261601223865373,0.119836817950025,0.241045251752699,0.128362014021671
"218685",873.208258628845,18037.5418024063,121570.593736172,19.8439793054772,0.37037037037037,0,0.130035696073431,0.0448750637429882,0.213129381771822,0.0485659655831744
"218688",1181.35891771317,20031.3907209635,109223.95435822,74.8589454784396,0.444444444444444,0.111111111111111,0.235594084650687,0.0555838857725649,0.266284257488834,0.0444869343530915
"218697",2281.3703918457,24376.2017526627,139676.701215744,17.4024932884841,0.567901234567902,0,0.308006119326872,0.322284548699641,0.285149776927966,0.25940089228807
"218709",17052.2858657837,258469.341596603,628944.24087739,24.9292866622066,1,0,0.803671596124422,0.0372259051504334,0.595283620140214,0.0378585086042068
"218724",2409.62672996521,60843.1233086586,222320.835090041,64.7653115819914,0.604938271604939,0,0.346251912289646,0.136155022947475,0.369662205226237,0.149776927979604
"218730",1440.8593711853,35000.6291213036,126593.909811854,69.8576653458229,0.234567901234568,0.185185185185185,0.335033146353899,0.129015808261091,0.285659655831726,0.177437858508601
"218736",808.499908685684,35424.771415472,84737.2255333662,89.8729227489935,0.271604938271605,0.17283950617284,0.278939316675164,0.0555838857725649,0.213766730401522,0.0248565965583175
"218739",2230.57954406738,39794.7411541939,151935.784352541,39.2351263664259,0.444444444444444,0.234567901234568,0.27231004589495,0.0872004079551246,0.280050987890363,0.124792861695349
"218742",5999.37767410278,245065.248287201,608693.212872744,25.7249515386823,0.876543209876545,0,0.767975522692499,0.0346761856195818,0.631867431485032,0.101083492670492
"218754",15389.3975143433,212155.394379139,608744.71836257,25.2765250588652,1,0,0.763895971443137,0.0188679245283019,0.574378585086033,0.0406628425748888
"218763",28422.3276672363,326991.743612289,659238.583059788,23.73012770813,1,0,0.855685874553794,0.0560938296787352,0.645379222434686,0.0532823454429578
